X,Y,Index_,Event_Unique_Id,Occurrence_year,Division,Homicide_Type,Occurrence_Date,Hood_ID,Neighbourhood,Long,Lat,ObjectId
-8835538.42210255,5412713.82926057,16,256410,2004,D51,Other,2004/04/01 05:00:00+00,73,Moss Park (73),-79.37099208,43.65829436,15
-8855524.03552512,5422998.60869784,17,250857,2004,D23,Shooting,2004/04/13 04:00:00+00,5,Elms-Old Rexdale (5),-79.5505259,43.72509835,16
-8858721.39958068,5424561.38499229,18,350484,2004,D23,Shooting,2004/05/01 04:00:00+00,2,Mount Olive-Silverstone-Jamestown (2),-79.57924831,43.73524273,17
-8830835.09569289,5418508.37716613,19,301868,2004,D54,Shooting,2004/03/03 05:00:00+00,58,Old East York (58),-79.32874138,43.69594155,18
-8851983.63934549,5429788.97887656,20,311851,2004,D31,Shooting,2004/05/15 04:00:00+00,24,Black Creek (24),-79.51872198,43.76916389,19
-8854809.28869697,5402874.20894196,21,311870,2004,D22,Stabbing,2004/05/19 04:00:00+00,20,Alderwood (20),-79.54410522,43.59431222,20
-8834644.45868659,5412989.66487623,22,374867,2004,D51,Shooting,2004/05/21 04:00:00+00,72,Regent Park (72),-79.36296147,43.660087,21
-8858574.09940407,5424805.8747467,23,408720,2004,D23,Other,2004/05/21 04:00:00+00,3,Thistletown-Beaumond Heights (3),-79.57792509,43.73682962,22
-8845113.18627728,5420698.60292008,24,374908,2004,D13,Other,2004/05/20 04:00:00+00,31,Yorkdale-Glen Park (31),-79.45700365,43.7101653,23
-8843076.92347252,5410277.95218626,25,418221,2004,D11,Other,2004/05/25 04:00:00+00,86,Roncesvalles (86),-79.43871159,43.64246141,24
-8835950.59364916,5413081.07078453,26,456650,2004,D51,Other,2004/06/01 04:00:00+00,73,Moss Park (73),-79.37469468,43.66068103,25
-8841894.53125591,5409281.10769624,27,455137,2004,D14,Shooting,2004/06/04 04:00:00+00,85,South Parkdale (85),-79.42808998,43.63598082,26
-8835363.39335398,5412133.84643856,28,456829,2004,D51,Stabbing,2004/06/18 04:00:00+00,73,Moss Park (73),-79.36941977,43.65452491,27
-8853915.87853888,5420831.81559094,29,510813,2004,D31,Shooting,2004/06/19 04:00:00+00,23,Pelmo Park-Humberlea (23),-79.53607958,43.7110303,28
-8852418.50225711,5430248.02641425,30,564223,2004,D31,Shooting,2004/07/01 04:00:00+00,24,Black Creek (24),-79.52262842,43.77214167,29
-8824937.32895814,5419062.36760701,31,565547,2004,D41,Stabbing,2004/07/05 04:00:00+00,121,Oakridge (121),-79.27576084,43.69953959,30
-8848253.46124518,5408384.79947907,32,565561,2004,D22,Stabbing,2004/07/07 04:00:00+00,16,Stonegate-Queensway (16),-79.48521322,43.63015323,31
-8850490.14922714,5420429.18039454,33,564251,2004,D31,Stabbing,2004/07/08 04:00:00+00,113,Weston (113),-79.50530573,43.7084158,32
-8840148.73885126,5429528.12812625,34,565588,2004,D32,Stabbing,2004/07/09 04:00:00+00,37,Willowdale West (37),-79.41240726,43.76747172,33
-8833902.568827,5434676.25756591,35,592201,2004,D33,Shooting,2004/07/21 04:00:00+00,48,Hillcrest Village (48),-79.35629696,43.8008594,34
-8846294.37067741,5413476.65492387,36,593866,2004,D11,Other,2004/07/23 04:00:00+00,90,Junction Area (90),-79.46761441,43.66325179,35
-8835055.37454935,5411542.43054336,37,594159,2004,D51,Shooting,2004/07/24 04:00:00+00,77,Waterfront Communities-The Island (77),-79.36665279,43.65068091,36
-8844707.13618947,5413487.2327497,38,607864,2004,D11,Other,2004/08/05 04:00:00+00,93,Dovercourt-Wallace Emerson-Junction (93),-79.45335604,43.66332053,37
-8850322.43528231,5419576.63581028,39,616055,2004,D31,Stabbing,2004/08/18 04:00:00+00,113,Weston (113),-79.50379913,43.70287945,38
-8843339.34136095,5419480.2966869,40,605174,2004,D13,Stabbing,2004/08/19 04:00:00+00,108,Briar Hill-Belgravia (108),-79.44106893,43.7022538,39
-8811799.40265472,5433594.66860993,41,592255,2004,D42,Shooting,2004/08/30 04:00:00+00,134,Highland Creek (134),-79.15774084,43.79384641,40
-8835725.89525699,5411798.94715428,42,635798,2004,D51,Other,2004/08/30 04:00:00+00,75,Church-Yonge Corridor (75),-79.37267618,43.65234821,41
-8855103.98701134,5426700.39579345,43,642839,2004,D31,Stabbing,2004/08/31 04:00:00+00,22,Humbermede (22),-79.54675254,43.74912481,42
-8856734.99009667,5419231.9568788,44,642110,2004,D23,Shooting,2004/09/05 04:00:00+00,6,Kingsview Village-The Westway (6),-79.56140409,43.70064099,43
-8862616.10566199,5424091.14302065,45,650681,2004,D23,Shooting,2004/09/21 04:00:00+00,1,West Humber-Clairville (1),-79.61423505,43.73219045,44
-8849049.10840006,5426115.26987411,46,633558,2004,D11,Other,2004/09/22 04:00:00+00,27,York University Heights (27),-79.49236064,43.74532769,45
-8831780.78148386,5413062.86739112,47,676448,2004,D55,Other,2004/10/08 04:00:00+00,70,South Riverdale (70),-79.33723662,43.66056273,46
-8849956.61271888,5420868.54258539,48,683174,2004,D31,Shooting,2004/10/15 04:00:00+00,28,Rustic (28),-79.50051289,43.71126878,47
-8836379.07461437,5419290.39614812,49,696852,2004,D53,Other,2004/10/27 04:00:00+00,99,Mount Pleasant East (99),-79.37854379,43.70102052,48
-8844047.39454811,5415318.39938857,50,697185,2004,D13,Other,2004/11/12 05:00:00+00,92,Corso Italia-Davenport (92),-79.44742948,43.67521918,49
-8841960.39009306,5414408.08244926,51,734705,2004,D14,Stabbing,2004/12/01 05:00:00+00,93,Dovercourt-Wallace Emerson-Junction (93),-79.4286816,43.66930437,50
-8841960.39009306,5414408.08244926,52,734705,2004,D14,Stabbing,2004/12/01 05:00:00+00,93,Dovercourt-Wallace Emerson-Junction (93),-79.4286816,43.66930437,51
-8813061.1790266,5431663.94336074,53,735933,2004,D42,Other,2004/12/02 05:00:00+00,133,Centennial Scarborough (133),-79.16907557,43.7813256,52
-8830835.09569289,5418508.37716613,54,734029,2004,D54,Stabbing,2004/12/03 05:00:00+00,58,Old East York (58),-79.32874138,43.69594155,53
-8846875.23355398,5411726.882391,55,643900,2004,D11,Other,2004/10/21 04:00:00+00,87,High Park-Swansea (87),-79.47283239,43.65187981,54
-8837090.02656107,5427166.67301155,56,735980,2004,D33,Stabbing,2004/12/11 05:00:00+00,40,St.Andrew-Windfields (40),-79.38493038,43.7521505,55
-8838968.69102313,5412615.03520096,57,730198,2004,D14,Stabbing,2004/12/11 05:00:00+00,78,Kensington-Chinatown (78),-79.40180671,43.65765229,56
-8828631.94382073,5420469.86969873,58,775505,2004,D54,Stabbing,2004/12/12 05:00:00+00,54,O'Connor-Parkview (54),-79.30895013,43.70868002,57
-8836411.32164446,5413079.51356976,59,736004,2004,D51,Shooting,2004/12/19 05:00:00+00,75,Church-Yonge Corridor (75),-79.37883347,43.66067091,58
-8822790.62608656,5423868.60651388,60,811677,2004,D41,Shooting,2004/12/19 05:00:00+00,124,Kennedy Park (124),-79.25647668,43.73074594,59
-8830723.63259996,5421076.81026227,61,730003,2004,D54,Shooting,2004/12/20 05:00:00+00,44,Flemingdon Park (44),-79.32774009,43.71262111,60
-8820497.47463248,5424582.47517326,62,860547,2004,D42,Stabbing,2004/12/31 05:00:00+00,123,Cliffcrest (123),-79.23587695,43.73537962,61
-8820513.12058691,5433290.80816701,63,986698,2004,D42,Other,2004/07/12 04:00:00+00,132,Malvern (132),-79.2360175,43.79187604,62
-8847609.16406997,5421400.30263754,64,308782,2004,D31,Shooting,2004/05/22 04:00:00+00,29,Maple Leaf (29),-79.4794254,43.71472156,63
-8823761.77843744,5438767.32924537,65,879569,2005,D42,Stabbing,2005/01/14 05:00:00+00,130,Milliken (130),-79.26520069,43.82737834,64
-8841486.0777803,5413804.10995661,66,910043,2005,D14,Stabbing,2005/01/18 05:00:00+00,93,Dovercourt-Wallace Emerson-Junction (93),-79.42442078,43.66537972,65
-8839622.36575224,5410346.68293382,67,920738,2005,D14,Shooting,2005/01/21 05:00:00+00,82,Niagara (82),-79.40767877,43.64290821,66
-8839622.36575224,5410346.68293382,71,920738,2005,D14,Shooting,2005/01/21 05:00:00+00,82,Niagara (82),-79.40767877,43.64290821,67
-8825655.95861012,5429828.59957204,72,951634,2005,D33,Shooting,2005/02/11 05:00:00+00,126,Dorset Park (126),-79.2822164,43.76942091,68
-8844974.25621318,5414566.95640477,73,733656,2005,D12,Other,2005/02/11 05:00:00+00,91,Weston-Pellam Park (91),-79.45575562,43.6703367,69
-8859590.9528587,5427393.28372321,74,736672,2005,D23,Shooting,2005/02/12 05:00:00+00,2,Mount Olive-Silverstone-Jamestown (2),-79.58705964,43.75362093,70
-8825655.95861012,5429828.59957204,75,768554,2005,D41,Shooting,2005/02/15 05:00:00+00,126,Dorset Park (126),-79.2822164,43.76942091,71
-8835844.06646245,5414098.85295627,76,918414,2005,D51,Shooting,2005/02/15 05:00:00+00,71,Cabbagetown-South St.James Town (71),-79.37373773,43.66729501,72
-8848990.68013893,5405790.912642,77,929672,2005,D22,Other,2005/02/18 05:00:00+00,17,Mimico (includes Humber Bay Shores) (17),-79.49183577,43.61328519,73
-8843889.62588659,5432372.06743443,78,969241,2005,D32,Shooting,2005/02/28 05:00:00+00,35,Westminster-Branson (35),-79.44601222,43.78591811,74
-8833898.98990537,5425445.63785609,79,953786,2005,D33,Shooting,2005/03/05 05:00:00+00,42,Banbury-Don Mills (42),-79.35626481,43.74098188,75
-8849698.79009904,5407426.30285437,80,745939,2005,D22,Stabbing,2005/03/11 05:00:00+00,16,Stonegate-Queensway (16),-79.49819683,43.62392068,76
-8836467.1461427,5413264.91168086,81,758352,2005,D51,Shooting,2005/03/25 05:00:00+00,75,Church-Yonge Corridor (75),-79.37933495,43.66187576,77
-8825544.88402221,5416871.91265511,82,884190,2005,D41,Shooting,2005/04/13 04:00:00+00,122,Birchcliffe-Cliffside (122),-79.2812186,43.68531183,78
-8842774.8702794,5409464.98067691,83,1052948,2005,D11,Shooting,2005/04/18 04:00:00+00,85,South Parkdale (85),-79.4359982,43.63717625,79
-8836982.96058802,5410266.96885096,84,1006774,2005,D52,Other,2005/04/19 04:00:00+00,77,Waterfront Communities-The Island (77),-79.38396859,43.64239001,80
-8855793.11699826,5427057.23708671,85,739652,2005,D31,Shooting,2005/04/24 04:00:00+00,21,Humber Summit (21),-79.5529431,43.75144038,81
-8825476.86002097,5435538.56568448,86,736140,2005,D42,Stabbing,2005/05/04 04:00:00+00,129,Agincourt North (129),-79.28060753,43.80644999,82
-8842700.08027951,5412958.38091445,87,739574,2005,D14,Shooting,2005/05/05 04:00:00+00,83,Dufferin Grove (83),-79.43532635,43.65988369,83
-8851604.55751752,5427638.82565709,88,737037,2005,D31,Stabbing,2005/05/05 04:00:00+00,25,Glenfield-Jane Heights (25),-79.51531663,43.75521416,84
-8832281.90620917,5415987.5910614,89,756176,2005,D54,Shooting,2005/05/08 04:00:00+00,69,Blake-Jones (69),-79.3417383,43.6795669,85
-8836719.10222539,5414110.83499082,90,1001532,2005,D51,Shooting,2005/05/14 04:00:00+00,75,Church-Yonge Corridor (75),-79.38159831,43.66737287,86
-8821582.59810442,5431866.20566864,91,863844,2005,D41,Shooting,2005/05/15 04:00:00+00,137,Woburn (137),-79.24562478,43.7826374,87
-8815458.94853812,5428177.07950572,92,988453,2005,D42,Shooting,2005/05/18 04:00:00+00,136,West Hill (136),-79.1906151,43.75870654,88
-8850972.67246554,5425243.99550587,93,781084,2005,D31,Stabbing,2005/05/27 04:00:00+00,25,Glenfield-Jane Heights (25),-79.50964031,43.73967319,89
-8827065.70084916,5417550.22449389,94,760646,2005,D55,Shooting,2005/06/12 04:00:00+00,62,East End-Danforth (62),-79.29488033,43.68971806,90
-8852329.64926594,5429419.98676118,284,1000509,2005,D31,Shooting,2005/06/24 04:00:00+00,24,Black Creek (24),-79.52183024,43.76677018,91
-8843329.65879164,5422232.93971705,285,834756,2005,D32,Stabbing,2005/06/25 04:00:00+00,32,Englemount-Lawrence (32),-79.44098195,43.72012757,92
-8843013.96228172,5413965.47115439,286,1086009,2005,D14,Shooting,2005/06/29 04:00:00+00,93,Dovercourt-Wallace Emerson-Junction (93),-79.438146,43.66642828,93
-8857533.87776194,5426257.2563336,287,884293,2005,D23,Shooting,2005/07/06 04:00:00+00,3,Thistletown-Beaumond Heights (3),-79.56858062,43.74624912,94
-8824573.65040811,5418305.44832436,288,863854,2005,D41,Other,2005/07/17 04:00:00+00,121,Oakridge (121),-79.27249386,43.69462352,95
-8847906.94482104,5416151.64717462,289,1059962,2005,D12,Shooting,2005/07/19 04:00:00+00,111,Rockcliffe-Smythe (111),-79.48210041,43.68063272,96
-8830508.50211802,5425813.49869926,290,1070618,2005,D33,Other,2005/07/20 04:00:00+00,45,Parkwoods-Donalda (45),-79.32580754,43.74336928,97
-8815573.09665718,5429890.45734173,291,1150352,2005,D42,Other,2005/07/15 04:00:00+00,136,West Hill (136),-79.19164051,43.76982218,98
-8843329.65879164,5422232.93971705,292,1135001,2005,D31,Shooting,2005/07/30 04:00:00+00,32,Englemount-Lawrence (32),-79.44098195,43.72012757,99
-8829385.9908819,5434045.97237512,293,1033503,2005,D42,Shooting,2005/07/30 04:00:00+00,117,L'Amoreaux (117),-79.31572385,43.79677275,100
-8837273.82951191,5411228.09393939,394,1787320,2006,D52,Shooting,2006/10/27 04:00:00+00,77,Waterfront Communities-The Island (77),-79.38658151,43.64863773,101
-8828180.93735656,5421595.15818825,395,1470621,2006,D54,Stabbing,2006/11/05 05:00:00+00,54,O'Connor-Parkview (54),-79.30489867,43.71598673,102
-8828180.93735656,5421595.15818825,396,1470621,2006,D54,Stabbing,2006/11/05 05:00:00+00,54,O'Connor-Parkview (54),-79.30489867,43.71598673,103
-8819692.66143073,5435991.70623437,397,1448992,2006,D42,Shooting,2006/11/14 05:00:00+00,132,Malvern (132),-79.22864719,43.80938762,104
-8848167.90999011,5411334.81007754,398,1945800,2006,D11,Other,2006/11/25 05:00:00+00,114,Lambton Baby Point (114),-79.4844447,43.64933139,105
-8838087.28667212,5410320.45812453,399,1796411,2006,D14,Shooting,2006/12/03 05:00:00+00,77,Waterfront Communities-The Island (77),-79.39388892,43.64273773,106
-8816180.2019905,5434045.1858276,400,1462848,2006,D42,Other,2006/12/03 05:00:00+00,132,Malvern (132),-79.19709423,43.79676765,107
-8834164.20302621,5413347.93387951,401,1451923,2006,D51,Other,2006/12/20 05:00:00+00,72,Regent Park (72),-79.35864726,43.66241529,108
-8841810.53624733,5409739.351874,402,1501929,2006,D14,Shooting,2006/12/25 05:00:00+00,85,South Parkdale (85),-79.42733544,43.63896,109
-8858074.30605987,5423099.30081012,403,1490523,2006,D23,Stabbing,2006/12/26 05:00:00+00,1,West Humber-Clairville (1),-79.57343537,43.72575202,110
-8851990.24281769,5428672.08044291,404,1932560,2006,D31,Shooting,2006/12/27 05:00:00+00,24,Black Creek (24),-79.5187813,43.7619181,111
-8856590.84471443,5411037.23226262,405,1904938,2006,D22,Other,2006/10/06 04:00:00+00,14,Islington-City Centre West (14),-79.56010921,43.6473971,112
-8819640.42030689,5434542.46227475,406,1875060,2007,D42,Shooting,2007/01/01 05:00:00+00,132,Malvern (132),-79.2281779,43.79999192,113
-8830358.08944845,5421037.19941587,407,1763040,2007,D54,Shooting,2007/01/11 05:00:00+00,44,Flemingdon Park (44),-79.32445636,43.71236391,114
-8851605.56829849,5419105.76547297,408,1441479,2007,D12,Other,2007/01/11 05:00:00+00,113,Weston (113),-79.51532571,43.69982144,115
-8823784.05346754,5431619.80796521,409,1993783,2007,D42,Shooting,2007/01/14 05:00:00+00,128,Agincourt South-Malvern West (128),-79.26540079,43.78103935,116
-8847421.16214795,5415749.32838187,410,1492036,2007,D12,Stabbing,2007/01/20 05:00:00+00,111,Rockcliffe-Smythe (111),-79.47773655,43.67801895,117
-8819605.90124599,5422588.5454232,411,1925141,2007,D43,Shooting,2007/02/04 05:00:00+00,123,Cliffcrest (123),-79.22786781,43.72243624,118
-8851364.94899275,5423063.06249087,412,1896894,2007,D31,Stabbing,2007/02/14 05:00:00+00,26,Downsview-Roding-CFB (26),-79.51316419,43.72551677,119
-8826680.89497297,5423290.91415534,413,2061133,2007,D41,Stabbing,2007/03/09 05:00:00+00,120,Clairlea-Birchmount (120),-79.29142356,43.72699591,120
-8855279.8706936,5426647.07659245,414,2065992,2007,D31,Shooting,2007/03/15 04:00:00+00,22,Humbermede (22),-79.54833253,43.74877881,121
-8843310.00310915,5418002.33126018,415,1564750,2007,D13,Shooting,2007/03/17 04:00:00+00,107,Oakwood Village (107),-79.44080538,43.69265471,122
-8840133.95450969,5431532.95937493,416,1438873,2007,D32,Other,2007/03/28 04:00:00+00,51,Willowdale East (51),-79.41227445,43.78047607,123
-8851753.24473498,5427121.42951662,417,2090220,2007,D31,Stabbing,2007/04/02 04:00:00+00,25,Glenfield-Jane Heights (25),-79.51665231,43.75185692,124
-8835374.76575316,5414234.19729601,418,2072766,2007,D51,Shooting,2007/04/04 04:00:00+00,71,Cabbagetown-South St.James Town (71),-79.36952193,43.66817448,125
-8859590.9528587,5427393.28372321,419,1447527,2007,D22,Shooting,2007/04/05 04:00:00+00,2,Mount Olive-Silverstone-Jamestown (2),-79.58705964,43.75362093,126
-8819741.97930473,5428532.03586722,420,1606685,2007,D43,Other,2007/04/06 04:00:00+00,137,Woburn (137),-79.22909022,43.76100951,127
-8843275.21688147,5427624.68535401,421,2086798,2007,D32,Stabbing,2007/04/09 04:00:00+00,33,Clanton Park (33),-79.44049289,43.75512241,128
-8833680.14914481,5413753.03345232,422,1842715,2007,D43,Shooting,2007/04/12 04:00:00+00,70,South Riverdale (70),-79.35429893,43.66504781,129
-8823544.65756301,5424267.40006905,423,2003231,2007,D41,Stabbing,2007/04/13 04:00:00+00,124,Kennedy Park (124),-79.26325026,43.73333453,130
-8852976.62256171,5421704.44463302,424,2178693,2007,D31,Shooting,2007/04/21 04:00:00+00,26,Downsview-Roding-CFB (26),-79.5276421,43.7166963,131
-8833280.61681319,5415714.68425799,425,2021610,2007,D54,Stabbing,2007/04/22 04:00:00+00,68,North Riverdale (68),-79.35070987,43.67779387,132
-8837292.37645227,5414549.97204473,426,1971014,2007,D51,Other,2007/04/29 04:00:00+00,76,Bay Street Corridor (76),-79.38674812,43.67022634,133
-8814216.75994384,5435203.3325604,427,2198590,2007,D42,Shooting,2007/05/09 04:00:00+00,131,Rouge (131),-79.17945633,43.80427664,134
-8855693.62520337,5423251.55413978,428,2226769,2007,D23,Other,2007/05/14 04:00:00+00,5,Elms-Old Rexdale (5),-79.55204935,43.7267404,135
-8837525.06424429,5420466.03360536,429,2163954,2007,D53,Shooting,2007/05/18 04:00:00+00,99,Mount Pleasant East (99),-79.38883839,43.70865511,136
-8854362.57582556,5425570.91906651,430,2044021,2007,D31,Shooting,2007/05/21 04:00:00+00,22,Humbermede (22),-79.54009233,43.74179496,137
-8833148.88132778,5427112.24615295,431,1902458,2007,D31,Shooting,2007/05/23 04:00:00+00,42,Banbury-Don Mills (42),-79.34952647,43.75179733,138
-8838909.1907553,5411387.24398958,432,2151831,2007,D14,Shooting,2007/05/20 04:00:00+00,78,Kensington-Chinatown (78),-79.40127221,43.64967221,139
-8834615.39650713,5411678.95440362,433,2226684,2007,D55,Other,2007/05/26 04:00:00+00,77,Waterfront Communities-The Island (77),-79.3627004,43.65156829,140
-8829713.54959676,5428364.8002231,434,2243955,2007,D33,Stabbing,2007/06/05 04:00:00+00,45,Parkwoods-Donalda (45),-79.31866636,43.75992449,141
-8858612.56028814,5424601.97697017,435,2066379,2007,D23,Shooting,2007/06/09 04:00:00+00,2,Mount Olive-Silverstone-Jamestown (2),-79.57827059,43.7355062,142
-8838546.08884024,5411890.55360333,436,2055785,2007,D14,Other,2007/05/30 04:00:00+00,78,Kensington-Chinatown (78),-79.39801041,43.65294362,143
-8845361.43208133,5417483.23516646,437,2127704,2007,D13,Other,2007/06/17 04:00:00+00,109,Caledonia-Fairbank (109),-79.45923368,43.68928292,144
-8817052.95459069,5431860.38042744,438,2149719,2007,D43,Other,2007/05/08 04:00:00+00,135,Morningside (135),-79.2049343,43.78259962,145
-8818493.82843852,5438071.44882841,439,2064605,2007,D42,Stabbing,2007/06/25 04:00:00+00,131,Rouge (131),-79.21787789,43.82286837,146
-8834980.05132909,5412890.22776022,440,2315548,2007,D51,Stabbing,2007/06/29 04:00:00+00,73,Moss Park (73),-79.36597615,43.65944077,147
-8811361.79683085,5434180.35423286,441,2122523,2007,D42,Shooting,2007/07/04 04:00:00+00,131,Rouge (131),-79.15380976,43.79764408,148
-8815913.81110945,5428686.54911905,442,2126683,2007,D43,Stabbing,2007/07/07 04:00:00+00,136,West Hill (136),-79.1947012,43.76201197,149
-8844258.74239375,5422345.47295364,443,2304950,2007,D32,Shooting,2007/07/03 04:00:00+00,31,Yorkdale-Glen Park (31),-79.44932805,43.72085817,150
-8820170.28327195,5431389.10470631,444,2043425,2007,D43,Stabbing,2007/07/17 04:00:00+00,137,Woburn (137),-79.23293774,43.77954305,151
-8843249.68575626,5417953.60553662,445,2226971,2007,D13,Shooting,2007/07/21 04:00:00+00,107,Oakwood Village (107),-79.44026354,43.69233822,152
-8850456.86915217,5425314.08424704,446,2162156,2007,D31,Shooting,2007/07/22 04:00:00+00,25,Glenfield-Jane Heights (25),-79.50500677,43.74012808,153
-8836068.07244738,5414462.15127428,447,2096282,2007,D51,Shooting,2007/07/22 04:00:00+00,74,North St.James Town (74),-79.37575001,43.6696557,154
-8837503.4404332,5411160.67045523,448,2253925,2007,D52,Shooting,2007/07/22 04:00:00+00,77,Waterfront Communities-The Island (77),-79.38864414,43.64819947,155
-8817824.68141339,5437388.20412602,449,2314144,2007,D42,Shooting,2007/07/28 04:00:00+00,131,Rouge (131),-79.21186684,43.81843996,156
-8845949.83017424,5413807.98329407,450,2133216,2007,D11,Other,2007/07/28 04:00:00+00,90,Junction Area (90),-79.46451935,43.66540489,157
-8860307.9160579,5424335.00560376,451,2177286,2007,D23,Shooting,2007/07/30 04:00:00+00,1,West Humber-Clairville (1),-79.59350023,43.73377335,158
-8820769.57397703,5425117.46301775,452,2344083,2007,D43,Stabbing,2007/07/29 04:00:00+00,138,Eglinton East (138),-79.23832126,43.73885196,159
-8834570.14513412,5413433.48354765,453,2082431,2007,D51,Shooting,2007/08/04 04:00:00+00,72,Regent Park (72),-79.3622939,43.66297124,160
-8840016.55252192,5410783.45970558,454,2187991,2007,D14,Stabbing,2007/08/09 04:00:00+00,82,Niagara (82),-79.41121981,43.6457475,161
-8832821.80128674,5419627.83230624,455,2383826,2007,D53,Stabbing,2007/08/22 04:00:00+00,55,Thorncliffe Park (55),-79.34658826,43.70321193,162
-8856094.7750072,5410133.3731587,456,2425942,2007,D22,Stabbing,2007/02/22 05:00:00+00,14,Islington-City Centre West (14),-79.55565294,43.64152153,163
-8825858.96194673,5418200.62693127,457,2077377,2007,D11,Shooting,2007/08/26 04:00:00+00,121,Oakridge (121),-79.28404001,43.69394269,164
-8819741.02307031,5423443.11210856,458,2421599,2007,D41,Other,2007/08/22 04:00:00+00,123,Cliffcrest (123),-79.22908163,43.72798391,165
-8825783.2635798,5435328.33613973,459,2442324,2007,D42,Other,2007/08/31 04:00:00+00,129,Agincourt North (129),-79.28336,43.80508706,166
-8825565.27107375,5426554.45293518,460,2265196,2007,D41,Stabbing,2007/09/11 04:00:00+00,126,Dorset Park (126),-79.28140174,43.74817775,167
-8843384.79867501,5416524.13442259,461,2479780,2007,D13,Other,2007/09/07 04:00:00+00,107,Oakwood Village (107),-79.44147728,43.68305258,168
-8852166.45377924,5429737.08931107,462,2426042,2007,D31,Shooting,2007/08/16 04:00:00+00,24,Black Creek (24),-79.52036423,43.76882728,169
-8850433.06125267,5420156.74285095,463,2373579,2007,D31,Other,2007/09/11 04:00:00+00,113,Weston (113),-79.5047929,43.70664667,170
-8836772.46099691,5412837.19137639,464,2304687,2007,D52,Shooting,2007/09/19 04:00:00+00,76,Bay Street Corridor (76),-79.38207764,43.65909609,171
-8832601.43990193,5429091.3113272,465,2430194,2007,D33,Other,2007/09/25 04:00:00+00,45,Parkwoods-Donalda (45),-79.34460872,43.76463793,172
-8851795.75319573,5427583.46668692,466,2373602,2007,D31,Shooting,2007/09/28 04:00:00+00,25,Glenfield-Jane Heights (25),-79.51703417,43.75485496,173
-8848868.2409442,5424889.4815023,467,2539175,2007,D31,Stabbing,2007/10/02 04:00:00+00,26,Downsview-Roding-CFB (26),-79.49073588,43.73737227,174
-8848603.10018103,5414727.77534133,468,2432106,2007,D12,Shooting,2007/10/06 04:00:00+00,111,Rockcliffe-Smythe (111),-79.48835408,43.67138165,175
-8842246.79176578,5416135.32485998,469,2424127,2007,D13,Shooting,2007/10/08 04:00:00+00,94,Wychwood (94),-79.43125439,43.68052668,176
-8851162.98983297,5426856.11274016,470,1902459,2007,D31,Shooting,2007/10/09 04:00:00+00,25,Glenfield-Jane Heights (25),-79.51134996,43.75013528,177
-8828761.3248989,5427917.64603854,471,2421605,2007,D41,Shooting,2007/10/14 04:00:00+00,119,Wexford/Maryvale (119),-79.31011238,43.75702327,178
-8834520.22390848,5435944.47268461,472,2538165,2007,D33,Other,2007/10/18 04:00:00+00,48,Hillcrest Village (48),-79.36184545,43.80908142,179
-8833521.15040292,5413924.23187869,473,2371208,2007,D55,Shooting,2007/10/21 04:00:00+00,68,North Riverdale (68),-79.35287062,43.6661603,180
